rank,title,studio,gross,year
1,Avatar,Fox,"$760,507,625",2009^
2,Titanic,Par.,"$658,672,302",1997^
3,Marvel's The Avengers,BV,"$623,357,910",2012
4,The Dark Knight,WB,"$534,858,444",2008^
5,Star Wars: Episode I - The Phantom Menace,Fox,"$474,544,677",1999^
6,Star Wars,Fox,"$460,998,007",1977^
7,The Dark Knight Rises,WB,"$448,139,099",2012
8,Shrek 2,DW,"$441,226,247",2004
9,E.T.: The Extra-Terrestrial,Uni.,"$435,110,554",1982^
10,The Hunger Games: Catching Fire,LGF,"$424,668,047",2013
11,Pirates of the Caribbean: Dead Man's Chest,BV,"$423,315,812",2006
12,The Lion King,BV,"$422,783,777",1994^
13,Toy Story 3,BV,"$415,004,880",2010
14,Iron Man 3,BV,"$409,013,994",2013
15,The Hunger Games,LGF,"$408,010,692",2012
16,Spider-Man,Sony,"$403,706,375",2002
17,Jurassic Park,Uni.,"$402,453,882",1993^
18,Transformers: Revenge of the Fallen,P/DW,"$402,111,870",2009
19,Frozen,BV,"$400,738,009",2013
20,Harry Potter and the Deathly Hallows Part 2,WB,"$381,011,219",2011
21,Finding Nemo,BV,"$380,843,261",2003^
22,Star Wars: Episode III - Revenge of the Sith,Fox,"$380,270,577",2005^
23,The Lord of the Rings: The Return of the King,NL,"$377,845,905",2003^
24,Spider-Man 2,Sony,"$373,585,825",2004
25,The Passion of the Christ,NM,"$370,782,930",2004^
26,Despicable Me 2,Uni.,"$368,061,265",2013
27,Transformers: Dark of the Moon,P/DW,"$352,390,543",2011
28,The Lord of the Rings: The Two Towers,NL,"$342,551,365",2002^
29,Spider-Man 3,Sony,"$336,530,303",2007
30,Alice in Wonderland (2010),BV,"$334,191,110",2010
31,Guardians of the Galaxy,BV,"$331,854,000",2014
32,Forrest Gump,Par.,"$330,252,182",1994^
33,Shrek the Third,P/DW,"$322,719,944",2007
34,Transformers,P/DW,"$319,246,193",2007
35,Iron Man,Par.,"$318,412,101",2008
36,Harry Potter and the Sorcerer's Stone,WB,"$317,575,550",2001
37,Indiana Jones and the Kingdom of the Crystal Skull,Par.,"$317,101,119",2008
38,The Lord of the Rings: The Fellowship of the Ring,NL,"$315,544,750",2001^
39,Iron Man 2,Par.,"$312,433,331",2010
40,Star Wars: Episode II - Attack of the Clones,Fox,"$310,676,740",2002^
41,Pirates of the Caribbean: At World's End,BV,"$309,420,425",2007
42,Return of the Jedi,Fox,"$309,306,177",1983^
43,Independence Day,Fox,"$306,169,268",1996^
44,Pirates of the Caribbean: The Curse of the Black Pearl,BV,"$305,413,918",2003
45,Skyfall,Sony,"$304,360,277",2012
46,The Hobbit: An Unexpected Journey,WB,"$303,003,568",2012
47,Harry Potter and the Half-Blood Prince,WB,"$301,959,197",2009
48,The Twilight Saga: Eclipse,Sum.,"$300,531,751",2010
49,The Twilight Saga: New Moon,Sum.,"$296,623,634",2009
50,Harry Potter and the Deathly Hallows Part 1,WB,"$295,983,305",2010
51,The Sixth Sense,BV,"$293,506,292",1999
52,Up,BV,"$293,004,164",2009
53,Inception,WB,"$292,576,195",2010
54,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$292,324,737",2012
55,Harry Potter and the Order of the Phoenix,WB,"$292,004,738",2007
56,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,"$291,710,957",2005
57,Man of Steel,WB,"$291,045,518",2013
58,The Empire Strikes Back,Fox,"$290,475,067",1980^
59,Harry Potter and the Goblet of Fire,WB,"$290,013,036",2005
60,"Monsters, Inc.",BV,"$289,916,256",2001^
61,Home Alone,Fox,"$285,761,243",1990
62,The Matrix Reloaded,WB,"$281,576,461",2003
63,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$281,287,133",2011
64,Meet the Fockers,Uni.,"$279,261,160",2004
65,The Hangover,WB,"$277,322,503",2009
